Data de Referência,Precipitação (mm)
2007-01-01,86.4
2007-02-01,208.6
2007-03-01,196.2
2007-04-01,112.8
2007-05-01,46.2
2007-06-01,99.4
2007-07-01,50.2
2007-08-01,99.6
2007-09-01,159.4
2007-10-01,162.4
2007-11-01,88.0
2007-12-01,44.0
2008-01-01,162.79999999999998
2008-02-01,147.0
2008-03-01,87.4
2008-04-01,86.2
2008-05-01,137.79999999999998
2008-06-01,138.2
2008-07-01,181.8
2008-08-01,109.2
2008-09-01,93.2
2008-10-01,280.4
2008-11-01,28.2
2008-12-01,39.6
2009-01-01,29.599999999999998
2009-02-01,106.0
2009-03-01,143.2
2009-04-01,23.2
2009-05-01,84.8
2009-06-01,37.8
2009-07-01,61.2
2009-08-01,86.4
2009-09-01,205.4
2009-10-01,120.2
2009-11-01,382.0
2009-12-01,61.599999999999994
2010-01-01,395.6
2010-02-01,149.2
2010-03-01,38.0
2010-04-01,6.799999999999999
2010-05-01,100.2
2010-06-01,50.800000000000004
2010-07-01,247.2
2010-08-01,19.0
2010-09-01,320.0
2010-10-01,56.6
2010-11-01,23.6
2010-12-01,95.8
2011-01-01,90.60000000000001
2011-02-01,234.8
2011-03-01,141.2
2011-04-01,139.2
2011-05-01,63.8
2011-06-01,90.2
2011-07-01,112.60000000000001
2011-08-01,136.0
2011-09-01,78.0
2011-10-01,177.2
2011-11-01,76.0
2011-12-01,117.0
2012-01-01,6.2
2012-02-01,83.60000000000001
2012-03-01,26.4
2012-04-01,120.0
2012-05-01,42.4
2012-06-01,60.2
2012-07-01,86.0
2012-08-01,60.2
2012-09-01,85.6
2012-10-01,124.6
2012-11-01,42.4
2012-12-01,373.4
2013-01-01,124.0
2013-02-01,213.8
2013-03-01,184.6
2013-04-01,133.8
2013-05-01,194.6
2013-06-01,42.0
2013-07-01,147.4
2013-08-01,42.2
2013-09-01,33.4
2013-10-01,100.2
2013-11-01,202.79999999999998
2013-12-01,12.200000000000001
2014-01-01,214.0
2014-02-01,136.8
2014-03-01,233.8
2014-04-01,44.2
2014-05-01,229.4
2014-06-01,114.8
2014-07-01,115.8
2014-08-01,20.8
2014-09-01,0.0
2014-10-01,132.4
2014-11-01,138.4
2014-12-01,179.4
2015-01-01,0.0
2015-02-01,101.2
2015-03-01,74.4
2015-04-01,46.2
2015-05-01,142.0
2015-06-01,106.4
2015-07-01,169.6
2015-08-01,82.0
2015-09-01,85.2
2015-10-01,386.4
2015-11-01,165.6
2015-12-01,422.2
2016-01-01,108.8
2016-02-01,158.6
2016-03-01,135.0
2016-04-01,235.0
2016-05-01,101.8
2016-06-01,77.6
2016-07-01,86.6
2016-08-01,99.6
2016-09-01,29.6
2016-10-01,287.8
2016-11-01,226.0
2016-12-01,191.4
2017-01-01,8.8
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,213.8
2017-05-01,276.6
2017-06-01,82.0
2017-07-01,0.0
2017-08-01,168.2
2017-09-01,107.0
2017-10-01,163.6
2017-11-01,95.2
2017-12-01,117.2
2018-01-01,140.0
2018-02-01,109.2
2018-03-01,197.6
2018-04-01,89.60000000000001
2018-05-01,148.0
2018-06-01,146.4
2018-07-01,50.8
2018-08-01,201.4
2018-09-01,202.2
2018-10-01,200.4
2018-11-01,179.2
2018-12-01,150.4
2019-01-01,523.2
2019-02-01,47.2
2019-03-01,124.0
2019-04-01,61.4
2019-05-01,188.2
2019-06-01,11.8
2019-07-01,152.0
2019-08-01,45.6
2019-09-01,62.199999999999996
2019-10-01,238.0
2019-11-01,157.6
2019-12-01,39.4
2020-01-01,77.6
2020-02-01,83.2
2020-03-01,33.8
2020-04-01,26.6
2020-05-01,187.4
2020-06-01,167.4
2020-07-01,43.4
2020-08-01,34.0
2020-09-01,172.4
2020-10-01,89.8
2020-11-01,112.2
2020-12-01,128.4
2021-01-01,117.2
2021-02-01,84.8
2021-03-01,79.2
2021-04-01,67.2
2021-05-01,203.0
2021-06-01,192.0
2021-07-01,21.2
2021-08-01,26.2
2021-09-01,284.8
2021-10-01,83.39999999999999
2021-11-01,63.2
2021-12-01,71.6
2022-01-01,40.0
2022-02-01,118.0
2022-03-01,174.4
2022-04-01,202.4
2022-05-01,71.8
2022-06-01,49.400000000000006
2022-07-01,0.0
2022-08-01,37.2
2022-09-01,51.199999999999996
2022-10-01,73.0
2022-11-01,77.0
2022-12-01,74.0
